number,file,previous_image,alt_text
1,"index.html",1.jpg,"Sliding glass door repair South Florida home"
2,"index.html",2.jpg,"Sliding door roller replacement South Florida"
3,"index.html",3.jpg,"Sliding door track repair"
4,"index.html",4.jpg,"Impact glass window repair Miami-Dade"
5,"index.html",5.jpg,"Sliding door lock repair security"
6,"index.html",6.jpg,"Window repair South Florida"
7,"index.html",7.jpg,"HOA commercial sliding door repair Broward"
8,"index.html",8.jpg,"Miami sliding door repair"
9,"index.html",9.jpg,"Fort Lauderdale track repair"
10,"index.html",10.jpg,"Palm Beach luxury door repair"
11,"index.html",11.jpg,"Florida Keys marine grade repair"
12,"index.html",8.jpg,"Miami-Dade sliding door repair"
13,"index.html",9.jpg,"Broward County sliding door repair"
14,"index.html",10.jpg,"Palm Beach luxury door repair"
15,"index.html",11.jpg,"Florida Keys marine grade door repair"
16,"index.html",2.jpg,"CoastSlide technician"
17,"pages/about.html",1.jpg,"About CoastSlide"
18,"pages/blog.html",1.jpg,"Door and window repair blog"
19,"pages/blog.html",7.jpg,"Balcony Door Maintenance for South Florida Condos"
20,"pages/blog.html",2.jpg,"Why a Sliding Door Gets Hard to Open"
21,"pages/blog.html",4.jpg,"Hurricane Season Sliding Door Checklist"
22,"pages/blog.html",7.jpg,"How Condo Associations Should Budget Door Repairs"
23,"pages/blog.html",6.jpg,"What Foggy Impact Windows Mean"
24,"pages/blog.html",5.jpg,"Why Your Sliding Door Lock Will Not Catch"
25,"pages/blog.html",3.jpg,"Track Drainage and Water Intrusion Explained"
26,"pages/blog.html",2.jpg,"316 Stainless Rollers vs Standard Rollers"
27,"pages/blog.html",8.jpg,"Miami Beach Sliding Door Care Guide"
28,"pages/blog.html",9.jpg,"Fort Lauderdale Condo Door Repair Patterns"
29,"pages/blog.html",10.jpg,"Palm Beach Luxury Sliding Door Systems"
30,"pages/blog.html",6.jpg,"Screen Door Problems vs Sliding Glass Door Problems"
31,"pages/blog.html",1.jpg,"Repair or Replace a Sliding Glass Door?"
32,"pages/blog.html",3.jpg,"Pet Hair, Sand and Sliding Door Tracks"
33,"pages/blog.html",5.jpg,"Multi-Point Locks on Impact Sliding Doors"
34,"pages/blog.html",7.jpg,"Commercial Sliding Door Maintenance Basics"
35,"pages/blog.html",6.jpg,"Jalousie Window Repair in Florida Homes"
36,"pages/blog.html",10.jpg,"Boca Raton Impact Glass Warning Signs"
37,"pages/blog.html",8.jpg,"Doral Townhome Sliding Door Maintenance"
38,"pages/blog.html",10.jpg,"West Palm Beach Window Repair Guide"
39,"pages/blog.html",2.jpg,"How Salt Air Destroys Your Sliding Door Rollers"
40,"pages/blog.html",7.jpg,"HOA Door Maintenance: A Property Manager Guide"
41,"pages/blog.html",4.jpg,"Impact Glass 101: What Every Miami Homeowner Must Know"
42,"pages/blog.html",3.jpg,"Why Your Sliding Door Sticks in Summer Heat"
43,"pages/blog.html",5.jpg,"Sliding Door Security: Anti-Lift Pins and Why You Need Them"
44,"pages/blog.html",11.jpg,"The Florida Keys Corrosion Problem: 316L vs 304 Steel"
45,"pages/blog/316-stainless-vs-standard-rollers.html",2.jpg,"316 Stainless Rollers vs Standard Rollers"
46,"pages/blog/anti-lift-pins.html",5.jpg,"Sliding Door Security: Anti-Lift Pins and Why You Need Them"
47,"pages/blog/balcony-door-maintenance-condos.html",7.jpg,"Balcony Door Maintenance for South Florida Condos"
48,"pages/blog/boca-raton-impact-glass-warning-signs.html",10.jpg,"Boca Raton Impact Glass Warning Signs"
49,"pages/blog/commercial-storefront-slider-maintenance.html",7.jpg,"Commercial Sliding Door Maintenance Basics"
50,"pages/blog/condo-association-door-budget.html",7.jpg,"How Condo Associations Should Budget Door Repairs"
51,"pages/blog/door-sticks-heat.html",3.jpg,"Why Your Sliding Door Sticks in Summer Heat"
52,"pages/blog/doral-townhome-door-maintenance.html",8.jpg,"Doral Townhome Sliding Door Maintenance"
53,"pages/blog/fort-lauderdale-condo-door-repair.html",9.jpg,"Fort Lauderdale Condo Door Repair Patterns"
54,"pages/blog/hoa-door-guide.html",7.jpg,"HOA Door Maintenance: A Property Manager's Guide"
55,"pages/blog/hurricane-season-door-checklist.html",4.jpg,"Hurricane Season Sliding Door Checklist"
56,"pages/blog/impact-glass-101.html",4.jpg,"Impact Glass 101: What Every Miami Homeowner Must Know"
57,"pages/blog/impact-window-fogging.html",6.jpg,"What Foggy Impact Windows Mean"
58,"pages/blog/jalousie-window-repair-florida.html",6.jpg,"Jalousie Window Repair in Florida Homes"
59,"pages/blog/keys-corrosion.html",11.jpg,"The Florida Keys Corrosion Problem: 316L vs 304 Steel"
